fromLib,toLib,type
commons-logging:commons-logging,org.slf4j:jcl-over-slf4j,undecided
commons-logging:commons-logging,org.slf4j:log4j-over-slf4j,undecided
commons-logging:commons-logging,org.slf4j:slf4j-api,undecided
commons-logging:commons-logging,org.slf4j:slf4j-jdk14,undecided
commons-logging:commons-logging,org.slf4j:slf4j-log4j12,undecided
commons-logging:commons-logging,org.slf4j:slf4j-nop,undecided
commons-logging:commons-logging,org.slf4j:slf4j-simple,undecided
commons-logging:commons-logging-api,ch.qos.logback:logback-classic,undecided
commons-logging:commons-logging-api,org.jboss.logging:jboss-logging,undecided
commons-logging:commons-logging-api,org.jboss.logging:jboss-logging-processor,undecided
commons-logging:commons-logging-api,org.slf4j:jcl-over-slf4j,undecided
commons-logging:commons-logging-api,org.slf4j:log4j-over-slf4j,undecided
commons-logging:commons-logging-api,org.slf4j:slf4j-api,undecided
commons-logging:commons-logging-api,org.slf4j:slf4j-jdk14,undecided
commons-logging:commons-logging-api,org.slf4j:slf4j-log4j12,undecided
commons-logging:commons-logging-api,org.slf4j:slf4j-simple,undecided
commons-pool:commons-pool,org.apache.commons:commons-pool2,rename:undecided
concurrent:concurrent,backport-util-concurrent:backport-util-concurrent,rename:undecided
dom4j:dom4j,jaxen:jaxen,undecided
dom4j:dom4j,org.dom4j:dom4j,rename:undecided
dom4j:dom4j,org.jdom:jdom,undecided
dom4j:dom4j,org.jdom:jdom2,undecided
dumbster:dumbster,org.subethamail:subethasmtp-wiser,undecided
easymock:easymock,org.easymock:easymock,rename:undecided
easymock:easymock,org.easymock:easymockclassextension,rename:undecided
easymock:easymock,org.mockito:mockito-core,undecided
freemarker:freemarker,org.freemarker:freemarker,rename:upgrade
groovy:groovy-all,org.codehaus.groovy:groovy-all,rename:undecided
hsqldb:hsqldb,com.h2database:h2,undecided
hsqldb:hsqldb,org.apache.derby:derby,undecided
hsqldb:hsqldb,org.apache.derby:derbyclient,undecided
hsqldb:hsqldb,org.hsqldb:hsqldb,rename:undecided
httpunit:httpunit,net.sourceforge.htmlunit:htmlunit,undecided
httpunit:httpunit,org.apache.tomcat.embed:tomcat-embed-core,undecided
httpunit:httpunit,org.apache.tomcat.embed:tomcat-embed-logging-juli,undecided
httpunit:httpunit,org.apache.tomcat:tomcat-juli,undecided
httpunit:httpunit,org.httpunit:httpunit,rename:upgrade
httpunit:httpunit,xerces:xercesImpl,undecided
info.cukes:cucumber-java,io.cucumber:cucumber-java,rename:undecided
info.cukes:cucumber-java,io.cucumber:cucumber-java8,rename:undecided
info.cukes:cucumber-junit,io.cucumber:cucumber-junit,rename:undecided
io.dropwizard.metrics:metrics-core,com.codahale.metrics:metrics-core,rename:downgrade
io.dropwizard.metrics:metrics-core,io.micrometer:micrometer-core,undecided
io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-core,undecided
io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-registry-influx,undecided
io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-registry-prometheus,undecided
io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-spring-legacy,undecided
io.dropwizard.metrics:metrics-jvm,com.codahale.metrics:metrics-core,rename:downgrade
io.dropwizard.metrics:metrics-jvm,com.codahale.metrics:metrics-jvm,rename:downgrade
io.dropwizard.metrics:metrics-jvm,com.codahale.metrics:metrics-servlets,rename:downgrade
io.dropwizard.metrics:metrics-jvm,io.micrometer:micrometer-registry-prometheus,undecided
io.dropwizard:dropwizard-core,org.springframework.boot:spring-boot-starter-web,undecided
io.grpc:grpc-protobuf,com.google.protobuf:protobuf-java,undecided
io.netty:netty,org.asynchttpclient:async-http-client,undecided
io.netty:netty,org.jboss.netty:netty,undecided
io.netty:netty-all,org.apache.activemq:activemq-core,undecided
io.prometheus:simpleclient,io.micrometer:micrometer-registry-prometheus,undecided
io.prometheus:simpleclient,io.micrometer:micrometer-spring-legacy,undecided
io.reactivex:rxjava,io.reactivex.rxjava2:rxjava,rename:upgrade
io.reactivex:rxjava,org.reactivestreams:reactive-streams,undecided
io.rest-assured:rest-assured,com.jayway.restassured:rest-assured,rename:downgrade
io.rest-assured:rest-assured,org.springframework.boot:spring-boot-test,undecided
io.rest-assured:rest-assured,org.springframework.boot:spring-boot-test-autoconfigure,undecided
io.rest-assured:rest-assured,org.springframework:spring-test,undecided
io.springfox:springfox-swagger-ui,com.github.xiaoymin:swagger-bootstrap-ui,undecided
io.swagger:swagger-annotations,io.swagger.core.v3:swagger-annotations,rename:upgrade
io.undertow:undertow-core,org.glassfish.jersey.containers:jersey-container-grizzly2-http,undecided
io.vertx:vertx-core,io.netty:netty-all,undecided
it.unimi.dsi:fastutil,fastutil:fastutil,rename:downgrade
jasperreports:jasperreports,net.sf.jasperreports:jasperreports,rename:upgrade
javassist:javassist,asm:asm-all,undecided
javassist:javassist,org.javassist:javassist,rename:undecided
javax.activation:activation,org.apache.geronimo.specs:geronimo-activation_1.1_spec,undecided
javax.annotation:jsr250-api,org.apache.geronimo.specs:geronimo-annotation_1.0_spec,undecided
javax.annotation:jsr250-api,org.jboss.spec.javax.annotation:jboss-annotations-api_1.1_spec,undecided
javax.annotation:jsr250-api,org.jboss.spec.javax.annotation:jboss-annotations-api_1.2_spec,undecided
javax.cache:cache-api,org.springframework.boot:spring-boot-starter-cache,undecided
javax.el:el-api,org.apache.tomcat:tomcat-el-api,undecided
javax.el:el-api,org.jboss.spec.javax.el:jboss-el-api_2.2_spec,undecided
javax.el:javax.el-api,org.glassfish:javax.el,undecided
javax.el:javax.el-api,org.jboss.spec.javax.el:jboss-el-api_3.0_spec,undecided
javax.enterprise:cdi-api,javax.inject:javax.inject,undecided
javax.faces:jsf-api,com.sun.faces:jsf-api,undecided
javax.faces:jsf-api,com.sun.faces:jsf-impl,undecided
javax.faces:jsf-api,org.glassfish:javax.faces,undecided
javax.faces:jsf-api,org.jboss.spec.javax.faces:jboss-jsf-api_2.1_spec,undecided
javax.inject:javax.inject,org.apache.geronimo.specs:geronimo-atinject_1.0_spec,undecided
javax.inject:javax.inject,org.apache.servicemix.bundles:org.apache.servicemix.bundles.javax-inject,undecided
javax.json:javax.json-api,com.fasterxml.jackson.core:jackson-annotations,undecided
javax.json:javax.json-api,com.fasterxml.jackson.core:jackson-core,undecided
javax.json:javax.json-api,com.fasterxml.jackson.core:jackson-databind,undecided
javax.json:javax.json-api,com.google.code.gson:gson,undecided
javax.json:javax.json-api,javax.json.bind:javax.json.bind-api,undecided
javax.json:javax.json-api,org.glassfish:javax.json,undecided
javax.mail:javax.mail-api,com.sun.mail:javax.mail,undecided
javax.mail:mail,com.sun.mail:javax.mail,undecided
javax.mail:mail,org.apache.geronimo.specs:geronimo-activation_1.1_spec,undecided
javax.mail:mail,org.apache.geronimo.specs:geronimo-javamail_1.4_spec,undecided
javax.persistence:persistence-api,org.eclipse.persistence:javax.persistence,undecided
javax.persistence:persistence-api,org.hibernate.javax.persistence:hibernate-jpa-2.1-api,undecided
javax.persistence:persistence-api,org.hibernate:hibernate-core,undecided
javax.servlet:javax.servlet-api,org.apache.tomcat:tomcat-servlet-api,undecided
javax.servlet:jsp-api,javax.servlet.jsp:javax.servlet.jsp-api,undecided
javax.servlet:jsp-api,javax.servlet.jsp:jsp-api,undecided
javax.servlet:jsp-api,org.apache.tomcat:tomcat-jsp-api,undecided
javax.servlet:jstl,javax.servlet.jsp.jstl:javax.servlet.jsp.jstl-api,undecided
javax.servlet:jstl,javax.servlet.jsp.jstl:jstl-api,undecided
javax.servlet:jstl,jstl:jstl,undecided
javax.servlet:jstl,org.apache.taglibs:taglibs-standard-jstlel,undecided
javax.servlet:jstl,org.glassfish.web:jstl-impl,undecided
javax.servlet:jstl,org.jboss.spec.javax.servlet.jstl:jboss-jstl-api_1.2_spec,undecided
javax.servlet:servlet-api,org.eclipse.jetty.orbit:javax.servlet,undecided
javax.transaction:javax.transaction-api,org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec,undecided
javax.transaction:javax.transaction-api,org.jboss.spec:jboss-javaee-6.0,undecided
javax.transaction:jta,org.apache.geronimo.specs:geronimo-jta_1.1_spec,undecided
javax.transaction:jta,org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec,undecided
javax.validation:validation-api,org.hibernate:hibernate-validator,undecided
javax.websocket:javax.websocket-api,org.eclipse.jetty.websocket:javax-websocket-server-impl,undecided
javax.websocket:javax.websocket-api,org.eclipse.jetty.websocket:websocket-client,undecided
javax.ws.rs:javax.ws.rs-api,jakarta.ws.rs:jakarta.ws.rs-api,undecided
javax.ws.rs:javax.ws.rs-api,org.jboss.spec.javax.ws.rs:jboss-jaxrs-api_2.0_spec,undecided
javax.ws.rs:javax.ws.rs-api,org.jboss.spec.javax.ws.rs:jboss-jaxrs-api_2.1_spec,undecided
javax.ws.rs:jsr311-api,com.sun.jersey:jersey-core,undecided
javax.ws.rs:jsr311-api,org.jboss.spec.javax.ws.rs:jboss-jaxrs-api_1.1_spec,undecided
javax.xml.bind:jaxb-api,org.jboss.spec.javax.xml.bind:jboss-jaxb-api_2.2_spec,undecided
javax.xml.bind:jaxb-api,org.jboss.spec.javax.xml.bind:jboss-jaxb-api_2.3_spec,undecided
javax.xml.ws:jaxws-api,org.apache.geronimo.specs:geronimo-jaxws_2.1_spec,undecided
javax:javaee-api,javax.annotation:javax.annotation-api,undecided
javax:javaee-api,javax.enterprise:cdi-api,undecided
javax:javaee-api,javax.inject:javax.inject,undecided
javax:javaee-api,javax.persistence:javax.persistence-api,undecided
javax:javaee-api,org.jboss.logging:jboss-logging,undecided
javax:javaee-api,org.jboss.spec.javax.interceptor:jboss-interceptors-api_1.2_spec,undecided
javax:javaee-api,org.jboss.spec.javax.ws.rs:jboss-jaxrs-api_2.0_spec,undecided
javax:javaee-api,org.jboss.spec.javax.ws.rs:jboss-jaxrs-api_2.1_spec,undecided
javax:javaee-api,org.jboss.spec:jboss-javaee-6.0,undecided
javax:javaee-api,org.springframework:spring-context,undecided
javax:javaee-api,org.springframework:spring-web,undecided
javax:javaee-web-api,javax.servlet:javax.servlet-api,undecided
jaxen:jaxen,com.sun.xml.stream.buffer:streambuffer,undecided
jaxen:jaxen,jdom:jdom,undecided
jaxen:jaxen,org.jdom:jdom,undecided
jaxen:jaxen,org.jvnet.staxex:stax-ex,undecided
jboss:javassist,javassist:javassist,rename:undecided
jboss:javassist,org.hibernate:hibernate-c3p0,undecided
jdom:jdom,org.jdom:jdom,rename:undecided
jdom:jdom,org.jdom:jdom2,rename:undecided
jfree:jfreechart,org.jfree:jfreechart,rename:upgrade
jline:jline,org.fusesource.jansi:jansi,undecided
jline:jline,org.jline:jline,rename:undecided
jline:jline,org.sonatype.jline:jline,rename:undecided
jmock:jmock,org.hamcrest:hamcrest-core,undecided
jmock:jmock,org.jmock:jmock,rename:undecided
jmock:jmock,org.jmock:jmock-junit3,rename:undecided
jmock:jmock,org.jmock:jmock-junit4,rename:undecided
jmock:jmock,org.jmock:jmock-legacy,rename:undecided
jmock:jmock,org.mockito:mockito-core,undecided
joda-time:joda-time,org.threeten:threetenbp,undecided
jstl:jstl,javax.servlet:jstl,rename:undecided
junit:junit,org.junit.jupiter:junit-jupiter,rename:undecided
junit:junit,org.junit.jupiter:junit-jupiter-api,rename:undecided
junit:junit,org.junit.jupiter:junit-jupiter-engine,rename:undecided
junit:junit,org.junit.jupiter:junit-jupiter-migrationsupport,rename:undecided
junit:junit,org.junit.jupiter:junit-jupiter-params,rename:undecided
junit:junit,org.junit.platform:junit-platform-launcher,rename:undecided
junit:junit,org.junit.platform:junit-platform-runner,rename:undecided
junit:junit,org.junit.platform:junit-platform-surefire-provider,rename:undecided
junit:junit,org.junit.vintage:junit-vintage-engine,rename:undecided
junit:junit,org.mockito:mockito-core,undecided
junit:junit,org.mockito:mockito-junit-jupiter,undecided
junit:junit,org.springframework.boot:spring-boot-starter-test,undecided
junit:junit,org.springframework.boot:spring-boot-starter-web,undecided
junit:junit,org.testng:testng,undecided
log4j:log4j,ch.qos.logback:logback-classic,undecided
log4j:log4j,ch.qos.logback:logback-core,undecided
log4j:log4j,commons-logging:commons-logging,undecided
log4j:log4j,commons-logging:commons-logging-api,undecided
log4j:log4j,org.apache.logging.log4j:log4j-1.2-api,rename:upgrade
log4j:log4j,org.apache.logging.log4j:log4j-api,rename:upgrade
log4j:log4j,org.apache.logging.log4j:log4j-core,rename:upgrade
log4j:log4j,org.apache.logging.log4j:log4j-jcl,rename:upgrade
log4j:log4j,org.apache.logging.log4j:log4j-slf4j-impl,rename:upgrade
log4j:log4j,org.slf4j:jcl-over-slf4j,undecided
log4j:log4j,org.slf4j:log4j-over-slf4j,undecided
log4j:log4j,org.slf4j:slf4j-api,undecided
log4j:log4j,org.slf4j:slf4j-ext,undecided
log4j:log4j,org.slf4j:slf4j-jcl,undecided
log4j:log4j,org.slf4j:slf4j-jdk14,undecided
log4j:log4j,org.slf4j:slf4j-log4j12,undecided
log4j:log4j,org.slf4j:slf4j-nop,undecided
log4j:log4j,org.slf4j:slf4j-simple,undecided
mockit:jmockit,com.googlecode.jmockit:jmockit,rename:undecided
mockobjects:mockobjects-core,jmock:jmock,undecided
mockobjects:mockobjects-core,org.mockito:mockito-all,undecided
mockobjects:mockobjects-core,org.quartz-scheduler:quartz,undecided
mysql:mysql-connector-java,org.xerial:sqlite-jdbc,undecided
nekohtml:nekohtml,net.sourceforge.nekohtml:nekohtml,rename:upgrade
net.htmlparser.jericho:jericho-html,net.sourceforge.htmlunit:htmlunit,undecided
net.jcip:jcip-annotations,com.github.stephenc.jcip:jcip-annotations,rename:undecided
net.minidev:json-smart,com.alibaba:fastjson,undecided
net.minidev:json-smart,com.fasterxml.jackson.core:jackson-databind,undecided
net.sf.ehcache:ehcache,org.ehcache:ehcache,rename:upgrade
net.sf.ehcache:ehcache-core,org.ehcache:ehcache,rename:upgrade
net.sf.ehcache:ehcache-core,org.hibernate:hibernate-ehcache,undecided
net.sf.flexjson:flexjson,com.google.code.gson:gson,undecided
net.sf.json-lib:json-lib,com.fasterxml.jackson.core:jackson-annotations,undecided
net.sf.json-lib:json-lib,com.fasterxml.jackson.core:jackson-core,undecided
net.sf.json-lib:json-lib,com.fasterxml.jackson.core:jackson-databind,undecided
net.sf.json-lib:json-lib,com.google.code.gson:gson,undecided
net.sf.json-lib:json-lib,org.codehaus.jackson:jackson-core-asl,undecided
net.sf.json-lib:json-lib,org.codehaus.jackson:jackson-mapper-asl,undecided
net.sf.json-lib:json-lib,org.json:json,undecided
net.sf.opencsv:opencsv,au.com.bytecode:opencsv,undecided
net.sf.opencsv:opencsv,com.opencsv:opencsv,rename:undecided
net.sf.opencsv:opencsv,org.apache.commons:commons-csv,undecided
net.sf.saxon:saxon,net.sourceforge.saxon:saxon,rename:undecided
net.sf.trove4j:trove4j,com.carrotsearch:hppc,undecided
net.sf.trove4j:trove4j,it.unimi.dsi:fastutil,undecided
net.sourceforge.collections:collections-generic,com.google.collections:google-collections,undecided
net.sourceforge.collections:collections-generic,com.google.guava:guava,undecided
net.sourceforge.nekohtml:nekohtml,nu.validator.htmlparser:htmlparser,undecided
net.sourceforge.saxon:saxon,net.sf.saxon:Saxon-HE,undecided
oauth.signpost:signpost-core,org.apache.httpcomponents:httpmime,undecided
org.antlr:antlr-runtime,org.antlr:antlr4-runtime,rename:undecided
org.apache.activemq:activemq-broker,org.hornetq:hornetq-jms-server,undecided
org.apache.activemq:activemq-client,org.apache.geronimo.specs:geronimo-jms_1.1_spec,undecided
org.apache.ant:ant,ant:ant,rename:downgrade
org.apache.ant:ant,org.codehaus.plexus:plexus-utils,undecided
org.apache.commons:commons-collections4,com.google.guava:guava,undecided
org.apache.commons:commons-dbcp2,com.mchange:c3p0,undecided
org.apache.commons:commons-dbcp2,com.zaxxer:HikariCP,undecided
org.apache.commons:commons-dbcp2,com.zaxxer:HikariCP-java7,undecided
org.apache.commons:commons-dbcp2,commons-dbcp:commons-dbcp,rename:undecided
org.apache.commons:commons-io,commons-io:commons-io,rename:undecided
org.apache.commons:commons-lang3,commons-lang:commons-lang,rename:undecided
org.apache.commons:commons-math,commons-lang:commons-lang,rename:undecided
org.apache.derby:derby,com.h2database:h2,undecided
org.apache.derby:derby,hsqldb:hsqldb,undecided
org.apache.derby:derby,org.hsqldb:hsqldb,undecided
org.apache.derby:derbyclient,com.h2database:h2,undecided
org.apache.derby:derbyclient,org.apache.geronimo.specs:geronimo-ws-metadata_2.0_spec,undecided
org.apache.geronimo.specs:geronimo-atinject_1.0_spec,javax.inject:javax.inject,undecided
org.apache.geronimo.specs:geronimo-atinject_1.0_spec,javax.interceptor:javax.interceptor-api,undecided
org.apache.geronimo.specs:geronimo-atinject_1.0_spec,javax:javaee-api,undecided
org.apache.geronimo.specs:geronimo-jms_1.1_spec,javax:javaee-api,undecided
org.apache.geronimo.specs:geronimo-jms_1.1_spec,org.apache.openejb:javaee-api,undecided
org.apache.geronimo.specs:geronimo-jta_1.1_spec,javax.ejb:javax.ejb-api,undecided
org.apache.geronimo.specs:geronimo-jta_1.1_spec,javax.transaction:javax.transaction-api,undecided
org.apache.geronimo.specs:geronimo-jta_1.1_spec,javax:javaee-api,undecided
org.apache.httpcomponents:httpclient,com.networknt:client,undecided
org.apache.httpcomponents:httpclient,com.squareup.okhttp3:okhttp,undecided
org.apache.httpcomponents:httpclient,commons-httpclient:commons-httpclient,rename:undecided
org.apache.httpcomponents:httpcore,com.squareup.okhttp3:okhttp,undecided
org.apache.httpcomponents:httpcore,commons-httpclient:commons-httpclient,rename:undecided
org.apache.httpcomponents:httpcore,org.eclipse.jetty:jetty-io,undecided
org.apache.httpcomponents:httpcore-nio,io.netty:netty,undecided
org.apache.httpcomponents:httpmime,com.squareup.okhttp:okhttp,undecided
org.apache.httpcomponents:httpmime,com.squareup.okhttp3:okhttp,undecided
org.apache.httpcomponents:httpmime,org.eclipse.jetty:jetty-io,undecided
org.apache.kafka:kafka_2.10,org.springframework.kafka:spring-kafka,undecided
org.apache.kafka:kafka_2.11,org.springframework.kafka:spring-kafka,undecided
org.apache.logging.log4j:log4j-1.2-api,log4j:apache-log4j-extras,rename:downgrade
org.apache.logging.log4j:log4j-1.2-api,log4j:log4j,rename:downgrade
org.apache.logging.log4j:log4j-1.2-api,org.slf4j:jcl-over-slf4j,undecided
org.apache.logging.log4j:log4j-1.2-api,org.slf4j:log4j-over-slf4j,undecided
org.apache.logging.log4j:log4j-1.2-api,org.slf4j:slf4j-log4j12,undecided
org.apache.logging.log4j:log4j-api,ch.qos.logback:logback-classic,undecided
org.apache.logging.log4j:log4j-api,ch.qos.logback:logback-core,undecided
org.apache.logging.log4j:log4j-api,log4j:log4j,rename:downgrade
org.apache.logging.log4j:log4j-api,org.slf4j:jcl-over-slf4j,undecided
org.apache.logging.log4j:log4j-api,org.slf4j:log4j-over-slf4j,undecided
org.apache.logging.log4j:log4j-api,org.slf4j:slf4j-api,undecided
org.apache.logging.log4j:log4j-api,org.slf4j:slf4j-log4j12,undecided
org.apache.logging.log4j:log4j-api,org.slf4j:slf4j-simple,undecided
org.apache.logging.log4j:log4j-core,ch.qos.logback:logback-classic,undecided
org.apache.logging.log4j:log4j-core,ch.qos.logback:logback-core,undecided
org.apache.logging.log4j:log4j-core,log4j:log4j,rename:downgrade
org.apache.logging.log4j:log4j-core,org.slf4j:jcl-over-slf4j,undecided
org.apache.logging.log4j:log4j-core,org.slf4j:log4j-over-slf4j,undecided
org.apache.logging.log4j:log4j-core,org.slf4j:slf4j-api,undecided
org.apache.logging.log4j:log4j-core,org.slf4j:slf4j-log4j12,undecided
org.apache.logging.log4j:log4j-core,org.slf4j:slf4j-simple,undecided
org.apache.logging.log4j:log4j-jcl,log4j:apache-log4j-extras,rename:downgrade
org.apache.logging.log4j:log4j-jcl,log4j:log4j,rename:downgrade
org.apache.logging.log4j:log4j-jcl,org.slf4j:jcl-over-slf4j,undecided
org.apache.logging.log4j:log4j-jcl,org.slf4j:jul-to-slf4j,undecided
org.apache.logging.log4j:log4j-jcl,org.slf4j:slf4j-log4j12,undecided
org.apache.logging.log4j:log4j-slf4j-impl,ch.qos.logback:logback-classic,undecided
org.apache.logging.log4j:log4j-slf4j-impl,ch.qos.logback:logback-core,undecided
org.apache.logging.log4j:log4j-slf4j-impl,log4j:log4j,rename:downgrade
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:jcl-over-slf4j,undecided
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:log4j-over-slf4j,undecided
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:slf4j-api,undecided
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:slf4j-jdk14,undecided
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:slf4j-log4j12,undecided
org.apache.lucene:lucene-core,org.apache.solr:solr,undecided
org.apache.lucene:lucene-core,org.elasticsearch:elasticsearch,undecided
org.apache.mahout:mahout-core,com.tdunning:t-digest,undecided
org.apache.maven.surefire:surefire-junit47,junit:junit,undecided
org.apache.maven.surefire:surefire-junit47,org.junit.jupiter:junit-jupiter,undecided
org.apache.maven.surefire:surefire-junit47,org.junit.jupiter:junit-jupiter-api,undecided
org.apache.maven.surefire:surefire-junit47,org.junit.jupiter:junit-jupiter-engine,undecided
org.apache.maven.surefire:surefire-junit47,org.junit.jupiter:junit-jupiter-migrationsupport,undecided
org.apache.maven.surefire:surefire-junit47,org.junit.jupiter:junit-jupiter-params,undecided
org.apache.maven.surefire:surefire-junit47,org.junit.platform:junit-platform-surefire-provider,undecided
org.apache.maven.surefire:surefire-junit47,org.junit.vintage:junit-vintage-engine,undecided
org.apache.maven.surefire:surefire-junit47,org.mockito:mockito-junit-jupiter,undecided
org.apache.maven:maven-aether-provider,org.apache.maven.resolver:maven-resolver-api,rename:downgrade
org.apache.maven:maven-aether-provider,org.apache.maven.resolver:maven-resolver-connector-basic,rename:downgrade
org.apache.maven:maven-aether-provider,org.apache.maven.resolver:maven-resolver-spi,rename:downgrade
org.apache.maven:maven-aether-provider,org.apache.maven.resolver:maven-resolver-transport-file,rename:downgrade
org.apache.maven:maven-aether-provider,org.apache.maven.resolver:maven-resolver-transport-http,rename:downgrade
org.apache.maven:maven-aether-provider,org.apache.maven.resolver:maven-resolver-util,rename:downgrade
org.apache.solr:solr-core,org.elasticsearch:elasticsearch,undecided
org.apache.solr:solr-solrj,org.elasticsearch:elasticsearch,undecided
org.apache.tomcat.embed:tomcat-embed-core,org.eclipse.jetty:jetty-plus,undecided
org.apache.tomcat.embed:tomcat-embed-core,org.eclipse.jetty:jetty-server,undecided
org.apache.tomcat.embed:tomcat-embed-core,org.eclipse.jetty:jetty-webapp,undecided
org.apache.tomcat.embed:tomcat-embed-jasper,org.eclipse.jetty:jetty-plus,undecided
org.apache.tomcat.embed:tomcat-embed-jasper,org.eclipse.jetty:jetty-server,undecided
org.apache.tomcat.embed:tomcat-embed-jasper,org.eclipse.jetty:jetty-webapp,undecided
org.apache.tomcat.embed:tomcat-embed-logging-juli,org.apache.tomcat:tomcat-juli,rename:undecided
org.apache.tomcat.embed:tomcat-embed-logging-juli,org.eclipse.jetty:jetty-plus,undecided
